TMZ,AZD7762,Intensity
5000,73.4,1094
5000,73.4,1028
2500,73.4,989
2500,73.4,1048
1250,73.4,1123
1250,73.4,1087
625,73.4,1077
625,73.4,1038
312.5,73.4,1094
312.5,73.4,1113
156.25,73.4,1078
156.25,73.4,1127
78.125,73.4,1060
78.125,73.4,1020
39.0625,73.4,1036
39.0625,73.4,1083
19.53125,73.4,1057
19.53125,73.4,1149
9.765625,73.4,1071
9.765625,73.4,1061
0,73.4,1117
0,73.4,1034
0,73.4,1075
0,73.4,1113
5000,73.4,1042
5000,73.4,1053
2500,73.4,1087
2500,73.4,1209
1250,73.4,1299
1250,73.4,1366
625,73.4,1400
625,73.4,1361
312.5,73.4,1278
312.5,73.4,1345
156.25,73.4,1318
156.25,73.4,1264
78.125,73.4,1382
78.125,73.4,1328
39.0625,73.4,1370
39.0625,73.4,1378
19.53125,73.4,1430
19.53125,73.4,1359
9.765625,73.4,1375
9.765625,73.4,1404
0,73.4,1303
0,73.4,1375
0,73.4,1320
0,73.4,1270
5000,8.4,8361
5000,8.4,14041
2500,8.4,49598
2500,8.4,52852
1250,8.4,82059
1250,8.4,92530
625,8.4,88284
625,8.4,85363
312.5,8.4,92524
312.5,8.4,103960
156.25,8.4,92285
156.25,8.4,100028
78.125,8.4,92022
78.125,8.4,89232
39.0625,8.4,96460
39.0625,8.4,101576
19.53125,8.4,107451
19.53125,8.4,96716
9.765625,8.4,98987
9.765625,8.4,100003
0,8.4,94581
0,8.4,103934
0,8.4,101048
0,8.4,87669
5000,8.4,11700
5000,8.4,13943
2500,8.4,57631
2500,8.4,56596
1250,8.4,87868
1250,8.4,98070
625,8.4,92306
625,8.4,90114
312.5,8.4,93678
312.5,8.4,91166
156.25,8.4,97394
156.25,8.4,83192
78.125,8.4,101061
78.125,8.4,101437
39.0625,8.4,98699
39.0625,8.4,100528
19.53125,8.4,101447
19.53125,8.4,100464
9.765625,8.4,95260
9.765625,8.4,97790
0,8.4,111675
0,8.4,107474
0,8.4,117522
0,8.4,118301
5000,2.9,34379
5000,2.9,34672
2500,2.9,119470
2500,2.9,141238
1250,2.9,163746
1250,2.9,181658
625,2.9,193553
625,2.9,173527
312.5,2.9,177640
312.5,2.9,185840
156.25,2.9,186310
156.25,2.9,185498
78.125,2.9,191534
78.125,2.9,185548
39.0625,2.9,180728
39.0625,2.9,179342
19.53125,2.9,171957
19.53125,2.9,168730
9.765625,2.9,163490
9.765625,2.9,166132
0,2.9,136640
0,2.9,150448
0,2.9,143899
0,2.9,154345
5000,2.9,32198
5000,2.9,45446
2500,2.9,131152
2500,2.9,137917
1250,2.9,163220
1250,2.9,165193
625,2.9,169901
625,2.9,172685
312.5,2.9,187034
312.5,2.9,177274
156.25,2.9,185134
156.25,2.9,181607
78.125,2.9,182976
78.125,2.9,182216
39.0625,2.9,181956
39.0625,2.9,184121
19.53125,2.9,169387
19.53125,2.9,164503
9.765625,2.9,159318
9.765625,2.9,159901
0,2.9,138498
0,2.9,144691
0,2.9,143723
0,2.9,147136
5000,0.325,50882
5000,0.325,68012
2500,0.325,185869
2500,0.325,191166
1250,0.325,232871
1250,0.325,226670
625,0.325,235913
625,0.325,242389
312.5,0.325,247790
312.5,0.325,260696
156.25,0.325,252569
156.25,0.325,249872
78.125,0.325,230486
78.125,0.325,229239
39.0625,0.325,247884
39.0625,0.325,223802
19.53125,0.325,204839
19.53125,0.325,217265
9.765625,0.325,207385
9.765625,0.325,218623
0,0.325,200285
0,0.325,205671
0,0.325,198266
0,0.325,219221
5000,0.325,56608
5000,0.325,60647
2500,0.325,125527
2500,0.325,175669
1250,0.325,213811
1250,0.325,224672
625,0.325,228738
625,0.325,242946
312.5,0.325,241985
312.5,0.325,242108
156.25,0.325,236665
156.25,0.325,244321
78.125,0.325,226072
78.125,0.325,251876
39.0625,0.325,224305
39.0625,0.325,241220
19.53125,0.325,226725
19.53125,0.325,219583
9.765625,0.325,216976
9.765625,0.325,219775
0,0.325,208700
0,0.325,191241
0,0.325,209903
0,0.325,186832
5000,0.183,55565
5000,0.183,58649
2500,0.183,166504
2500,0.183,177487
1250,0.183,206908
1250,0.183,225110
625,0.183,235560
625,0.183,225559
312.5,0.183,258058
312.5,0.183,250337
156.25,0.183,251797
156.25,0.183,264338
78.125,0.183,254649
78.125,0.183,237304
39.0625,0.183,252983
39.0625,0.183,274588
19.53125,0.183,264263
19.53125,0.183,233494
9.765625,0.183,229461
9.765625,0.183,246016
0,0.183,235728
0,0.183,205793
0,0.183,225570
0,0.183,234186
5000,0.183,49743
5000,0.183,62245
2500,0.183,170088
2500,0.183,183576
1250,0.183,226154
1250,0.183,236988
625,0.183,249956
625,0.183,244727
312.5,0.183,266685
312.5,0.183,273226
156.25,0.183,275583
156.25,0.183,284203
78.125,0.183,278302
78.125,0.183,243081
39.0625,0.183,263132
39.0625,0.183,261125
19.53125,0.183,233363
19.53125,0.183,249479
9.765625,0.183,235727
9.765625,0.183,254569
0,0.183,226591
0,0.183,237736
0,0.183,240448
0,0.183,239881
5000,0.04,53736
5000,0.04,55538
2500,0.04,180471
2500,0.04,178285
1250,0.04,243282
1250,0.04,230528
625,0.04,265255
625,0.04,253328
312.5,0.04,291884
312.5,0.04,291160
156.25,0.04,317001
156.25,0.04,321995
78.125,0.04,307336
78.125,0.04,299506
39.0625,0.04,289822
39.0625,0.04,279055
19.53125,0.04,302948
19.53125,0.04,300613
9.765625,0.04,267552
9.765625,0.04,303110
0,0.04,311864
0,0.04,297731
0,0.04,295682
0,0.04,308696
5000,0.04,50248
5000,0.04,59830
2500,0.04,173299
2500,0.04,193989
1250,0.04,226885
1250,0.04,242616
625,0.04,270282
625,0.04,267868
312.5,0.04,306154
312.5,0.04,310821
156.25,0.04,332876
156.25,0.04,311057
78.125,0.04,299437
78.125,0.04,283263
39.0625,0.04,280325
39.0625,0.04,259032
19.53125,0.04,274497
19.53125,0.04,276203
9.765625,0.04,278351
9.765625,0.04,293082
0,0.04,292599
0,0.04,299232
0,0.04,301294
0,0.04,300708
5000,0,47662
5000,0,58224
2500,0,189375
2500,0,186330
1250,0,238555
1250,0,245424
625,0,254390
625,0,233852
312.5,0,277918
312.5,0,282711
156.25,0,294507
156.25,0,271484
78.125,0,274170
78.125,0,267795
39.0625,0,275517
39.0625,0,247281
19.53125,0,237770
19.53125,0,235323
9.765625,0,232178
9.765625,0,255786
0,0,243676
0,0,250783
0,0,260730
0,0,268986
5000,0,49600
5000,0,51323
2500,0,193655
2500,0,192694
1250,0,255760
1250,0,241391
625,0,248514
625,0,269213
312.5,0,282180
312.5,0,270157
156.25,0,288247
156.25,0,305314
78.125,0,274528
78.125,0,290652
39.0625,0,272440
39.0625,0,260734
19.53125,0,268413
19.53125,0,253759
9.765625,0,244266
9.765625,0,254250
0,0,251042
0,0,263686
0,0,285257
0,0,228527
5000,0,48568
5000,0,51709
2500,0,191581
2500,0,188601
1250,0,258487
1250,0,249933
625,0,274335
625,0,266843
312.5,0,267691
312.5,0,285957
156.25,0,292828
156.25,0,291882
78.125,0,277730
78.125,0,302648
39.0625,0,286671
39.0625,0,281646
19.53125,0,257999
19.53125,0,263716
9.765625,0,246544
9.765625,0,258294
0,0,246643
0,0,247001
0,0,255969
0,0,241802
5000,0,41431
5000,0,49580
2500,0,183639
2500,0,183460
1250,0,254296
1250,0,261278
625,0,263409
625,0,279238
312.5,0,283186
312.5,0,281097
156.25,0,311148
156.25,0,298384
78.125,0,307906
78.125,0,301657
39.0625,0,270642
39.0625,0,286855
19.53125,0,292392
19.53125,0,269793
9.765625,0,259040
9.765625,0,265065
0,0,247531
0,0,263450
0,0,241043
0,0,224624
