TMZ,AZD7762,Intensity
5000,100,12
5000,100,6
2500,100,56
2500,100,77
1250,100,363
1250,100,356
625,100,378
625,100,365
312.5,100,370
312.5,100,438
156.25,100,577
156.25,100,613
78.125,100,542
78.125,100,566
39.0625,100,508
39.0625,100,564
19.53125,100,532
19.53125,100,555
9.765625,100,561
9.765625,100,581
0,100,413
0,100,448
0,100,290
0,100,254
5000,100,14
5000,100,20
2500,100,18
2500,100,33
1250,100,337
1250,100,382
625,100,404
625,100,347
312.5,100,283
312.5,100,338
156.25,100,337
156.25,100,385
78.125,100,299
78.125,100,333
39.0625,100,304
39.0625,100,273
19.53125,100,334
19.53125,100,357
9.765625,100,441
9.765625,100,435
0,100,433
0,100,480
0,100,439
0,100,444
5000,17.74,27
5000,17.74,44
2500,17.74,96
2500,17.74,78
1250,17.74,408
1250,17.74,370
625,17.74,212
625,17.74,243
312.5,17.74,347
312.5,17.74,405
156.25,17.74,567
156.25,17.74,520
78.125,17.74,709
78.125,17.74,693
39.0625,17.74,820
39.0625,17.74,860
19.53125,17.74,948
19.53125,17.74,959
9.765625,17.74,925
9.765625,17.74,982
0,17.74,1036
0,17.74,1011
0,17.74,1066
0,17.74,1472
5000,17.74,18
5000,17.74,32
2500,17.74,83
2500,17.74,53
1250,17.74,446
1250,17.74,376
625,17.74,237
625,17.74,186
312.5,17.74,346
312.5,17.74,342
156.25,17.74,567
156.25,17.74,525
78.125,17.74,734
78.125,17.74,674
39.0625,17.74,835
39.0625,17.74,937
19.53125,17.74,989
19.53125,17.74,893
9.765625,17.74,941
9.765625,17.74,888
0,17.74,877
0,17.74,955
0,17.74,1129
0,17.74,1423
5000,6.103,53
5000,6.103,125
2500,6.103,60
2500,6.103,89
1250,6.103,417
1250,6.103,479
625,6.103,354
625,6.103,338
312.5,6.103,483
312.5,6.103,585
156.25,6.103,788
156.25,6.103,783
78.125,6.103,1099
78.125,6.103,1081
39.0625,6.103,1246
39.0625,6.103,1135
19.53125,6.103,1374
19.53125,6.103,1237
9.765625,6.103,1252
9.765625,6.103,1349
0,6.103,1152
0,6.103,1203
0,6.103,1328
0,6.103,1743
5000,6.103,76
5000,6.103,94
2500,6.103,74
2500,6.103,111
1250,6.103,456
1250,6.103,460
625,6.103,366
625,6.103,321
312.5,6.103,614
312.5,6.103,574
156.25,6.103,749
156.25,6.103,833
78.125,6.103,979
78.125,6.103,1074
39.0625,6.103,1236
39.0625,6.103,1243
19.53125,6.103,1320
19.53125,6.103,1267
9.765625,6.103,1236
9.765625,6.103,1221
0,6.103,1386
0,6.103,1316
0,6.103,1281
0,6.103,1591
5000,0.5,740
5000,0.5,838
2500,0.5,2690
2500,0.5,1983
1250,0.5,3868
1250,0.5,3639
625,0.5,7187
625,0.5,7338
312.5,0.5,9523
312.5,0.5,9413
156.25,0.5,10198
156.25,0.5,7904
78.125,0.5,9704
78.125,0.5,9997
39.0625,0.5,9431
39.0625,0.5,9604
19.53125,0.5,10038
19.53125,0.5,9358
9.765625,0.5,12465
9.765625,0.5,11402
0,0.5,11435
0,0.5,11407
0,0.5,12220
0,0.5,11358
5000,0.5,832
5000,0.5,1042
2500,0.5,2192
2500,0.5,1918
1250,0.5,3912
1250,0.5,3480
625,0.5,6630
625,0.5,6042
312.5,0.5,9211
312.5,0.5,8575
156.25,0.5,8787
156.25,0.5,9361
78.125,0.5,9939
78.125,0.5,10498
39.0625,0.5,9652
39.0625,0.5,10214
19.53125,0.5,10317
19.53125,0.5,10900
9.765625,0.5,11317
9.765625,0.5,10585
0,0.5,11903
0,0.5,10618
0,0.5,12591
0,0.5,10768
5000,0.275,854
5000,0.275,1267
2500,0.275,2321
2500,0.275,2206
1250,0.275,4327
1250,0.275,4467
625,0.275,8174
625,0.275,8083
312.5,0.275,12144
312.5,0.275,11609
156.25,0.275,14114
156.25,0.275,11737
78.125,0.275,12165
78.125,0.275,12623
39.0625,0.275,12225
39.0625,0.275,11131
19.53125,0.275,11971
19.53125,0.275,12255
9.765625,0.275,12568
9.765625,0.275,13520
0,0.275,14288
0,0.275,14122
0,0.275,14391
0,0.275,13416
5000,0.275,926
5000,0.275,1227
2500,0.275,2514
2500,0.275,2595
1250,0.275,5122
1250,0.275,4139
625,0.275,9664
625,0.275,9880
312.5,0.275,14814
312.5,0.275,12172
156.25,0.275,11833
156.25,0.275,11578
78.125,0.275,12342
78.125,0.275,14217
39.0625,0.275,12580
39.0625,0.275,12333
19.53125,0.275,15601
19.53125,0.275,13359
9.765625,0.275,12734
9.765625,0.275,12947
0,0.275,14766
0,0.275,14996
0,0.275,14005
0,0.275,13550
5000,0.05,1210
5000,0.05,1686
2500,0.05,2952
2500,0.05,2817
1250,0.05,6297
1250,0.05,5712
625,0.05,19433
625,0.05,19865
312.5,0.05,27094
312.5,0.05,26623
156.25,0.05,29487
156.25,0.05,27379
78.125,0.05,28400
78.125,0.05,30995
39.0625,0.05,28704
39.0625,0.05,29264
19.53125,0.05,29535
19.53125,0.05,29067
9.765625,0.05,27849
9.765625,0.05,31275
0,0.05,30381
0,0.05,31806
0,0.05,31942
0,0.05,30088
5000,0.05,1465
5000,0.05,1635
2500,0.05,2309
2500,0.05,2285
1250,0.05,6353
1250,0.05,6525
625,0.05,20189
625,0.05,20131
312.5,0.05,28636
312.5,0.05,28803
156.25,0.05,30888
156.25,0.05,32022
78.125,0.05,29171
78.125,0.05,32123
39.0625,0.05,26964
39.0625,0.05,28329
19.53125,0.05,29770
19.53125,0.05,30088
9.765625,0.05,30619
9.765625,0.05,31983
0,0.05,31800
0,0.05,32380
0,0.05,32338
0,0.05,30080
5000,0,2665
5000,0,3062
2500,0,4770
2500,0,4515
1250,0,9874
1250,0,9289
625,0,32964
625,0,30837
312.5,0,40091
312.5,0,37500
156.25,0,38273
156.25,0,36702
78.125,0,36263
78.125,0,40192
39.0625,0,37735
39.0625,0,38731
19.53125,0,38451
19.53125,0,36207
9.765625,0,35269
9.765625,0,36715
0,0,36632
0,0,38549
0,0,38168
0,0,36189
5000,0,2476
5000,0,2471
2500,0,4334
2500,0,5079
1250,0,9764
1250,0,9095
625,0,33412
625,0,32981
312.5,0,39996
312.5,0,39290
156.25,0,37825
156.25,0,36994
78.125,0,40056
78.125,0,39298
39.0625,0,39631
39.0625,0,42818
19.53125,0,41792
19.53125,0,38511
9.765625,0,36266
9.765625,0,37097
0,0,38660
0,0,38108
0,0,38861
0,0,38059
5000,0,2506
5000,0,2832
2500,0,6158
2500,0,5061
